"ticker","preco_atual","data_hora","fechamento_anterior","retorno_diario"
"PETR4",41.45,"2026-08-26T20:23:30.000Z",41.42,0.0007242877836794093
"VALE3",78.45,"2026-08-26T20:23:30.000Z",78.37,0.0010207987750414482
"MGLU3",4.71,"2026-08-26T20:22:30.000Z",4.69,0.0042643923240937255
"ITUB4",39.45,"2026-08-26T20:24:30.000Z",39.33,0.003051106025934517
